project,date,revision,files,async_declarations,await_declarations,const_declarations,class_declarations,arrow_function_declarations,let_declarations,export_declarations,yield_declarations,import_statements,promise_declarations,promise_all_and_then,default_parameters,rest_statements,spread_arguments,array_destructuring,object_destructuring,errors,statements
jspdf,18-06-2012,e4dcbcf90cf9efa110c34865fa4f0474082d135c,8,8,0,0,0,1378,0,0,0,0,0,0,0,0,0,0,0,1,6773
jspdf,25-06-2012,c340dbfeb81e2597806b7cf57a1b8ae96107aa4a,12,8,0,0,0,1459,0,0,0,0,0,0,0,0,0,0,0,1,7498
jspdf,03-07-2012,9d5455b45f3001ffdbf820d85fb861702bebac80,15,8,0,0,0,1508,0,0,0,0,0,0,0,0,0,0,0,1,8130
jspdf,21-07-2012,f5bb00fe5c3442e23c3870d14e8315437e9aead5,16,8,0,0,0,1524,0,0,0,0,0,0,0,0,0,0,0,1,8455
jspdf,21-08-2012,c600d6945beb4a9f9053048f0aebb5d4d3cc00b2,14,8,0,0,0,1402,0,0,0,0,0,0,0,0,0,0,0,1,7532
jspdf,06-09-2012,31e73995d641e1c4cffd1a1003527f34ef17c5a9,14,8,0,0,0,1404,0,0,0,0,0,0,0,0,0,0,0,1,7552
jspdf,07-10-2012,91d3b3a5887dba1869638950d17665b03c692081,14,8,0,0,0,1403,0,0,0,0,0,0,0,0,0,0,0,1,7549
jspdf,16-10-2012,4d69f468c24566104c0996a69e70abe913121c40,14,8,0,0,0,1404,0,0,0,0,0,0,0,0,0,0,0,1,7605
jspdf,01-11-2012,c3974c93ded32cad93c226b8036a922b80b81f8b,14,8,0,0,0,1404,0,0,0,0,0,0,0,0,0,0,0,1,7609
jspdf,30-12-2012,b840e03c577d9cceb54aa0bd540eb1b3c2ea8b24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
jspdf,07-01-2013,681fee488d32f2abf1408cd07eb0320848da03a7,33,8,0,0,0,1785,0,0,0,0,0,0,0,0,0,0,0,1,9188
