Project,previousDate,previousHash,previousValue,changesDate,changesHash,newValue,featureChanges,action
jspdf,16-12-2014,81720bdddf72a8b4fa4a6844b08073f41dadc6d0,24,17-12-2014,63380ed539f2e87449de62c32a77877757696515,0,promise_declarations,deletions
jspdf,29-12-2014,5b510fae744b1818bed2ce45bd9957014977471f,24,09-01-2015,aa009374ce83594e91892c8173110124eada64f6,0,promise_declarations,deletions
jspdf,07-08-2018,71920866627e1db8dd6483b7ffc3d46f1d0b4305,24,02-09-2018,2af843863cbf3006a153df8869e6f7feb140efbd,0,promise_declarations,deletions
meteor,04-07-2016,dd5ea2b9500250afc238eff0af27922044c61536,27,06-07-2016,ceb4b3c753b58780d7a2c66768dd43ef18dfd572,0,promise_declarations,deletions
meteor,24-03-2017,2a93c7c9e1e4afc81f13ea03d00b3e8637caca4a,22,28-03-2017,d53584fbffb5e7480d401571e1ad9933ac2267cb,0,promise_declarations,deletions
meteor,18-05-2017,30082c17d5dcc18c60f6728020c5aa9c51256570,22,24-05-2017,f1b0408c3280c33dcbf992ab25406a8d2890ebe6,0,promise_declarations,deletions
meteor,02-06-2017,ad243d95664ea21b1488e22097e0a61c9114e20a,23,06-06-2017,08a2f5e92b8a3f79f7767a53ca66ee0dab251fca,0,promise_declarations,deletions
meteor,06-06-2017,77843cdb28fe22e6161570598867503ccc55171b,22,07-06-2017,1d1d72c987a494220db1ddecfa6dd54c114a3381,0,promise_declarations,deletions
meteor,28-08-2017,54a8f5413fffbc748c419acc29b58d72670d8332,25,29-08-2017,7a71916d40ed278b2ee214869b9bb032da517371,0,promise_declarations,deletions
meteor,06-09-2017,3ad0034779ba2e308417795648943ed046f6d9ee,26,06-09-2017,b20546fc3f35bd0ecf869cf04ca305db4fb86b45,0,promise_declarations,deletions
meteor,13-09-2017,0d26adfee5973ee30f87386ed46617ccb33bab62,26,13-09-2017,5fd5bbafbe3cff61f1682d9ca6a784a7ff1c31d3,0,promise_declarations,deletions
meteor,14-09-2017,227ac694ffc7a40b6853b8a28d8b6ab1d9ed1f7a,25,16-09-2017,4ac26e154b96d7db0776b3b1bc336636b9086b0a,0,promise_declarations,deletions
meteor,14-10-2017,1aaeca1cb82f080e15267b1dc4dc724074dc3b1a,25,15-10-2017,83aa5af3571dad051d3487a254be9e3eb586ee82,0,promise_declarations,deletions
meteor,31-10-2017,f91ff783b7f2776bd1d0f9dd5ee5038eff1ff60f,27,02-11-2017,07ab0c0d6f7d7f9d34d7bf4c522f2d8a91a8c5fa,0,promise_declarations,deletions
meteor,24-11-2017,1c796a69e1a812ff62d0e62ef134cf5766737cd3,30,26-11-2017,c892446ba0fc90179e30e6cdb2141cec94d99eea,0,promise_declarations,deletions
meteor,10-12-2017,8ccbe3baa040eb6b41592d23739d2d099d1c7fd1,30,12-12-2017,981956e7f3068c0c42c2150c26dea5a74e27d263,0,promise_declarations,deletions
meteor,21-12-2017,3f8c90a29f26ec6dc8ff55f736c36a68fa40398f,30,29-12-2017,270d35ac7f988dbc42c60b3e0db280c039e3b2f3,0,promise_declarations,deletions
meteor,16-01-2018,c0ab6c8c9cc693cb9d9dbaab6a31b8b17221b7af,31,20-01-2018,b92e0292d28e433715262dda5259f8996a8d6fcd,0,promise_declarations,deletions
meteor,22-01-2018,1fec23f3b7a6d2a4ec45ef726884a336722a68c3,30,22-01-2018,42ddb31538311136c5b0604a977abcbb285d3eac,0,promise_declarations,deletions
meteor,02-02-2018,9db6a437bca25e7ad6845c0da7647ae6222864c3,32,05-02-2018,8f2bb0d08986dd624fecd9b309593c73b764a446,2,promise_declarations,deletions
meteor,07-02-2018,636835992721a54fc024e912ef72df5888750ac9,37,07-02-2018,a741bc3f4262e6443a1879f9a7036eb47779d472,0,promise_declarations,deletions
meteor,25-02-2018,6cea010800169f3a77fec8d66f8a08021ec2f00a,35,26-02-2018,10fb822e9f68a231f13a6ff6a9d4d766790abd73,0,promise_declarations,deletions
meteor,01-03-2018,84e0d944dc7788d50783a9fa1a5eae4366dde440,32,05-03-2018,388f52102873004f6d8d3ff818d593444f1219ae,0,promise_declarations,deletions
meteor,23-03-2018,9401f0d572648ad091cfd3f8ac2048db929b549e,32,24-03-2018,2d580e71825577070793befc8cc1b5a018e907e4,0,promise_declarations,deletions
meteor,03-04-2018,06f9f78277f8cf0ebe217eccd5e54e163fbc8fdf,34,03-04-2018,5d05d9d7aa0b0a750f4aa90d0442a6df6dc866cd,0,promise_declarations,deletions
meteor,27-04-2018,11078e46b24cd5ad8814910b4e3d804507c2f0fd,34,04-05-2018,bedf66b4a25c43090c02a9ee38ed00ec31b80581,0,promise_declarations,deletions
meteor,14-05-2018,5f9fdda632a49c812bb435b9ce04c4f7ebb04f81,33,18-05-2018,a7daf6243ae544e35e322f964c716bc09ff9c964,0,promise_declarations,deletions
meteor,25-05-2018,5558e50b88f582365a2bd736147cf5f75fd871b4,35,26-05-2018,6d80f545f8b2910811198625150c6bc9cc317123,0,promise_declarations,deletions
meteor,17-08-2018,b8b404daf37717442afe72916e806bf909d5dd60,35,26-08-2018,816dd28111ca45cd25f5bea4e9af5d57e6e09856,0,promise_declarations,deletions
meteor,03-09-2018,543d4d3d51ba8c85fa697544e5f67174458c07c9,38,04-09-2018,15754260ff52a016bd86b5d7349f4bce3cdd39cc,0,promise_declarations,deletions
meteor,12-09-2018,fbebdc82ce3e034cb6a848c19201f1c169e29175,38,13-09-2018,7e4c93e2ec0c445e111c60876c1f4d515f79ccb6,2,promise_declarations,deletions
meteor,13-09-2018,1320cdb4551766a1d0497cc343e8267f885d21d2,38,24-09-2018,92304175f081e5bc09370eb94fc470a4eb6b0b8d,0,promise_declarations,deletions
meteor,09-10-2018,0e9660097d8243897218c4068e2e6976faf65607,38,11-10-2018,2315a500c61b301ffae2c00d821001a60f2f0f1c,0,promise_declarations,deletions
meteor,21-10-2018,689ae3dfa776d3761205f41a841eba6e96c737e3,38,21-10-2018,604302c2f34394f14729b1d66558ebcc91ef7994,2,promise_declarations,deletions
meteor,27-10-2018,970ac2100d6608689a3a5a1cb10e208735ae8909,38,31-10-2018,e161f7bdd6b319586c3581eb891f5df083bd8c81,0,promise_declarations,deletions
meteor,03-11-2018,c5b51b0fc2a8cef498b9390ebcb4925e02de83e8,38,07-11-2018,3a9a7eac4ccf8f29e5d307718b9a46bd7ba18aa8,0,promise_declarations,deletions
meteor,29-11-2018,8f2c2b5805d8a9be2e49cd949f3c4131a4179078,38,30-11-2018,aac7dc8b9fdcac582e98d95cb3ab868fd53e3d73,0,promise_declarations,deletions
meteor,19-12-2018,57a55ac0d68a61d9a47df03f3cf93a10cc4ff414,38,28-12-2018,07f49c744ca9e052ee3d1d21261c1ba852988374,0,promise_declarations,deletions
meteor,06-01-2019,0d88efa615f78e863fd71f4c5ac0b3fbf1ea6d47,38,11-01-2019,5a2ab0b53169f2784b341f737f59e60e6d39fb91,2,promise_declarations,deletions
meteor,05-02-2019,29b6ca64835e0c014b94110276eb49011da38faf,38,06-02-2019,fafb0039320b57459497018a14911b72f25aeb38,0,promise_declarations,deletions
meteor,13-02-2019,aadbbfbd2ba0f030f5e424c82cfbe7cea0d1152c,38,14-02-2019,78c3ebf5b50e761bef984e7c90312b9e0be1bdce,0,promise_declarations,deletions
meteor,15-02-2019,b80f2963e3928e20d777b499b93f2e7b8dc170bc,37,21-02-2019,4f5ac63f79e6961894d20a2a6fd2616e010fcacf,0,promise_declarations,deletions
meteor,28-02-2019,986e0a3e8444eafb276e59e59065c0333268480e,38,04-03-2019,3b3c665d1a8817ceb6e2d3a33bff3c307dad64cf,0,promise_declarations,deletions
meteor,26-03-2019,ef0bc60e8a0d6dd3bb70f9769a588aa885d6e65c,37,30-03-2019,3492112da7b710a20ef89939162c3ebf25efbc30,0,promise_declarations,deletions
meteor,02-05-2019,e17b52afacff2770a3728d09c511e4ce3e033799,37,11-05-2019,994c1214b50026f8f7141ad477da7ac043cca664,0,promise_declarations,deletions
meteor,17-05-2019,a2f5e1c3e584826bb7ef288fe193154c34efd22f,38,18-05-2019,be20bdbf5ecf9912c02a8bdbcd6efa29dac4827d,0,promise_declarations,deletions
meteor,21-07-2019,f8ba7a96fe98b441a0f043f2ac5c7e98f56e7c3d,38,28-07-2019,9c421102d2ba51c9f74e509c9271541d5413c915,0,promise_declarations,deletions
meteor,06-08-2019,979ae3f77f925691638316b46fc5538810bc4501,37,13-08-2019,246cb273231cad6a141cfa49723c5577970a6d47,0,promise_declarations,deletions
meteor,18-08-2019,c112077ac29080ca2b478bfc0ce8d79dfbc55a1c,37,22-08-2019,96527aaa47a716fee6cba885739364ec6172c5be,0,promise_declarations,deletions
meteor,06-09-2019,c499de30e8f5b386ed87aa624fbe570d749a9204,37,13-09-2019,35a111cfea4cc250ec9859ccc9115b7eec1b95a4,0,promise_declarations,deletions
meteor,09-10-2019,282b16ed16f416d0e399657348616cc3ff408ea8,37,16-10-2019,349a66b343e3f2a3cc5f3cf6536beec64bbfef11,0,promise_declarations,deletions
meteor,24-10-2019,357ea2b9462ed0a60fcc8086e7651364a5949d30,37,27-10-2019,7062e25fb34e18f48ce288d3d569b6c754f468df,0,promise_declarations,deletions
meteor,11-12-2019,72c0016058cf7d9a892eb81fef5de1d25f5d1eef,37,12-12-2019,0c5c1cdfcf49fc58e2fe584533cc1e0477581e66,2,promise_declarations,deletions
meteor,13-01-2020,ff2ecf22c30b21596d0b270c23042c72c2ce3c2c,37,14-01-2020,be327f995fbfa1656a8552f880bb88aa160c60e6,0,promise_declarations,deletions
meteor,03-02-2020,d3dd0a1756eb42240d32a09b035ca71957c3e9d2,37,04-02-2020,a18d467382a683f0cc359d3854bc068f3e14488e,0,promise_declarations,deletions
meteor,05-02-2020,61deae506821efe3513b7cfa8474b3119815bc88,37,12-02-2020,5fb0cec252c34857a780afd79a0dd7fe3248a437,0,promise_declarations,deletions
meteor,19-02-2020,d7bb478a41d61cd6355f554e4d8f4eb68a140ecd,37,19-02-2020,7cc3028a934c171d1f376feb4e1a8e659265fe1b,0,promise_declarations,deletions
meteor,26-02-2020,edc7180382205f4c25d19db106ee4236371943cb,37,27-02-2020,01a939f2472d7053f69669f979daa985bccf6ad0,0,promise_declarations,deletions
meteor,18-03-2020,065e3c0b47ffab0237f32bdf46ce8d421a161948,37,19-03-2020,17f0b0c6d63a8578be9b484b1bda1c4b4e983145,0,promise_declarations,deletions
meteor,30-03-2020,d27d0a279deeb6a4764bebfc913141414eb89dbf,37,07-04-2020,bdeeeadb59df98302fc41433ad91b89474edd13f,0,promise_declarations,deletions
meteor,21-04-2020,71f67d9dbac34aba34ceef733b2b51c2bd44b665,37,29-04-2020,1c3bc1aa71858e1aec65be8cff64c3a48a9e3e89,0,promise_declarations,deletions
